epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,time_s,step
1,atlas,2.5011,8.74,2.3798,10.52,22.5,100
2,atlas,2.0119,30.21,1.6953,42.19,23.4,200
3,atlas,1.4767,48.64,1.288,53.81,22.8,300
4,atlas,1.163,59.54,1.1186,59.77,22.7,400
5,atlas,0.9351,68.22,0.9701,65.26,22.8,500
6,atlas,0.7663,73.91,0.8281,72.23,22.5,600
7,atlas,0.6427,78.52,0.7338,75.39,22.7,700
1,atlas_raw,2.4294,10.5,2.371,10.62,22.5,100
2,atlas_raw,1.9614,32.72,1.6688,42.62,22.5,200
3,atlas_raw,1.3996,52.7,1.2034,58.14,22.7,300
4,atlas_raw,1.0513,64.13,0.9586,66.43,22.8,400
5,atlas_raw,0.834,71.74,0.7495,74.12,22.6,500
6,atlas_raw,0.6911,76.46,0.7048,75.67,23.1,600
7,atlas_raw,0.591,80.06,0.7336,75.47,22.7,700
1,atlas_random,2.3959,11.13,2.3695,10.59,22.7,100
2,atlas_random,1.9441,33.55,1.6567,43.27,22.8,200
3,atlas_random,1.3812,53.58,1.1837,59.12,22.6,300
4,atlas_random,1.0173,65.57,0.9261,67.53,22.9,400
5,atlas_random,0.8079,72.63,0.7355,74.63,22.9,500
6,atlas_random,0.672,77.38,0.7299,75.43,23.1,600
7,atlas_random,0.5771,80.54,0.7683,74.91,22.7,700
1,muon,2.3937,11.01,2.369,10.69,23.2,100
2,muon,1.9797,31.82,1.7156,41.46,22.8,200
3,muon,1.4514,51.22,1.252,56.17,22.8,300
4,muon,1.07,63.93,0.9644,66.46,22.7,400
5,muon,0.8404,71.61,0.7792,72.68,23.0,500
6,muon,0.6932,76.67,0.756,74.01,23.0,600
7,muon,0.5922,80.16,0.6242,78.5,23.4,700
1,adam,2.3937,11.01,2.369,10.69,22.3,100
2,adam,1.8009,35.75,1.5992,42.37,22.5,200
3,adam,1.4391,50.11,1.3723,50.64,22.7,300
4,adam,1.2748,55.78,1.2431,55.51,22.4,400
5,adam,1.183,58.94,1.1857,57.87,22.4,500
6,adam,1.1089,61.67,1.2027,55.98,22.2,600
7,adam,1.0577,63.27,1.0548,62.87,22.2,700
1,muon_sam,2.3937,5.5,2.3699,10.64,25.6,100
2,muon_sam,2.1992,10.57,2.0475,29.59,24.7,200
3,muon_sam,1.8516,19.24,1.6905,42.88,24.7,300
4,muon_sam,1.5376,24.38,1.3923,51.99,24.8,400
5,muon_sam,1.2658,28.85,1.1477,60.6,24.7,500
6,muon_sam,1.0617,32.22,0.9908,65.92,24.7,600
7,muon_sam,0.9166,34.67,0.8812,69.37,24.5,700
1,muon_sam_frob,2.3937,5.5,2.3693,10.6,,100
2,muon_sam_frob,2.0717,13.98,1.8535,36.93,,200
3,muon_sam_frob,1.6173,22.94,1.4109,51.26,,300
4,muon_sam_frob,1.2364,29.13,1.0965,62.0,,400
5,muon_sam_frob,0.9751,33.58,0.892,69.09,,500
6,muon_sam_frob,0.7992,36.52,0.7654,73.2,,600
7,muon_sam_frob,0.6736,38.76,0.6606,77.16,,700
1,muon_sam_stale,2.4041,5.41,2.3694,10.57,,100
2,muon_sam_stale,2.0773,13.82,1.8568,37.01,,200
3,muon_sam_stale,1.6192,22.92,1.4152,51.25,,300
4,muon_sam_stale,1.2384,29.11,1.1166,60.91,,400
5,muon_sam_stale,0.9769,33.48,0.903,68.5,,500
6,muon_sam_stale,0.8022,36.45,0.7788,72.61,,600
7,muon_sam_stale,0.6771,38.64,0.6746,76.61,,700
1,sgd,2.3937,11.01,2.369,10.69,,100
2,sgd,1.8267,34.52,1.6567,39.7,,200
3,sgd,1.47,48.05,1.3771,49.89,,300
4,sgd,1.2877,54.66,1.2608,54.74,,400
5,sgd,1.1904,58.33,1.1915,57.36,,500
6,sgd,1.1173,60.85,1.1621,58.23,,600
7,sgd,1.0571,62.96,1.1096,60.99,,700
