epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,time_s,step
1,muon_sam,11.0214,0.0,11.0258,0.0,1491.4,100
2,muon_sam,10.7519,0.93,10.4211,5.83,1492.1,200
3,muon_sam,9.914,7.18,9.375,9.26,1493.0,300
4,muon_sam,9.0811,11.07,8.7978,12.73,1491.9,400
5,muon_sam,8.5751,13.52,8.368,14.35,1490.7,500
6,muon_sam,8.1614,14.64,7.9868,15.15,1494.3,600
7,muon_sam,7.8263,15.26,7.6843,15.74,1486.5,700
8,muon_sam,7.5586,15.81,7.4465,16.29,1484.9,800
9,muon_sam,7.1932,16.37,7.0067,16.98,1484.7,900
10,muon_sam,6.7945,17.04,6.6512,17.63,1486.9,1000
11,muon_sam,6.5408,17.74,6.4328,18.4,1485.1,1100
12,muon_sam,6.3605,18.56,6.2545,19.36,1485.4,1200
13,muon_sam,6.2024,19.44,6.092,20.31,1485.9,1300
14,muon_sam,6.0568,20.3,5.94,21.21,1484.6,1400
15,muon_sam,5.9216,21.07,5.8063,22.0,1486.5,1500
