epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,time_s,step,val_perplexity
1,atlas,11.5826,0.0,11.0258,0.0,786.4,100.0,
2,atlas,9.9197,4.81,8.6307,7.15,779.8,200.0,
3,atlas,7.6864,8.7,7.2369,10.48,779.6,300.0,
4,atlas,6.9212,11.84,6.6666,13.67,780.2,400.0,
5,atlas,6.4623,13.98,6.3042,14.89,780.3,500.0,
6,atlas,6.1602,15.09,6.0271,15.68,780.0,600.0,
7,atlas,5.9051,16.01,5.7637,16.81,779.8,700.0,
8,atlas,5.691,17.08,5.5614,17.73,779.7,800.0,
9,atlas,5.4993,18.14,5.3548,18.83,780.4,900.0,
10,atlas,5.258,19.79,5.0455,21.5,780.1,1000.0,
11,atlas,4.9924,21.89,4.796,23.38,780.3,1100.0,
12,atlas,4.7687,23.76,4.5689,25.56,780.8,1200.0,
13,atlas,4.562,25.69,4.366,27.63,842.8,1300.0,
14,atlas,4.3788,27.52,4.1863,29.49,782.0,1400.0,
15,atlas,4.2237,29.02,4.0431,30.89,781.4,1500.0,
1,atlas_raw,11.3317,0.0,11.0258,0.0,789.7,100.0,
2,atlas_raw,9.845,5.2,8.6068,7.89,781.9,200.0,
3,atlas_raw,7.6193,9.41,7.0666,12.75,781.9,300.0,
4,atlas_raw,6.74,13.44,6.4916,14.61,781.4,400.0,
5,atlas_raw,6.2888,15.1,6.1236,15.84,781.5,500.0,
6,atlas_raw,5.9774,16.22,5.8179,17.18,781.6,600.0,
7,atlas_raw,5.718,17.48,5.5664,18.34,781.7,700.0,
8,atlas_raw,5.4878,18.79,5.3054,19.98,781.0,800.0,
9,atlas_raw,5.2059,20.83,4.9742,22.68,780.8,900.0,
10,atlas_raw,4.8909,23.4,4.6715,25.25,780.8,1000.0,
11,atlas_raw,4.6184,25.81,4.4029,27.85,781.1,1100.0,
12,atlas_raw,4.3861,28.06,4.1835,30.1,780.1,1200.0,
13,atlas_raw,4.2044,29.78,4.0195,31.67,779.5,1300.0,
14,atlas_raw,4.0642,31.03,3.8859,32.9,778.9,1400.0,
15,atlas_raw,3.9505,32.02,3.7754,33.81,779.1,1500.0,
1,atlas_random,11.1281,0.0,11.0258,0.0,788.0,100.0,
2,atlas_random,9.3388,6.83,8.1535,10.27,779.7,200.0,
3,atlas_random,7.2394,12.33,6.8352,14.07,780.3,300.0,
4,atlas_random,6.5369,14.54,6.3385,15.35,782.0,400.0,
5,atlas_random,6.163,15.77,5.9979,16.55,783.1,500.0,
6,atlas_random,5.8731,16.98,5.7188,17.84,782.9,600.0,
7,atlas_random,5.615,18.33,5.4343,19.53,782.7,700.0,
8,atlas_random,5.3288,20.28,5.1126,21.87,781.4,800.0,
9,atlas_random,5.024,22.62,4.8085,24.29,782.7,900.0,
10,atlas_random,4.7467,24.87,4.5409,26.55,782.1,1000.0,
11,atlas_random,4.5071,27.0,4.3041,28.9,781.9,1100.0,
12,atlas_random,4.3063,28.91,4.113,30.82,781.3,1200.0,
13,atlas_random,4.1469,30.4,3.9665,32.2,781.1,1300.0,
14,atlas_random,4.0214,31.5,3.8453,33.27,781.2,1400.0,
15,atlas_random,3.9176,32.4,3.7416,34.15,780.8,1500.0,
1,adam,11.0215,0.0,11.0258,0.0,767.2,100.0,
2,adam,8.7111,7.9,7.8936,10.14,766.0,200.0,
3,adam,7.2083,12.29,6.8958,13.59,766.8,300.0,
4,adam,6.6818,14.11,6.5516,14.61,765.9,400.0,
5,adam,6.4194,14.95,6.3227,15.4,765.1,500.0,
6,adam,6.2143,15.86,6.0954,16.64,766.0,600.0,
7,adam,5.9946,17.17,5.8594,18.07,765.9,700.0,
8,adam,5.7672,18.54,5.6253,19.51,765.0,800.0,
9,adam,5.5569,19.82,5.4146,20.78,765.1,900.0,
10,adam,5.3628,21.04,5.2228,21.98,766.1,1000.0,
11,adam,5.185,22.23,5.0596,23.2,765.0,1100.0,
12,adam,5.0193,23.45,4.8727,24.67,765.4,1200.0,
13,adam,4.8562,24.84,4.7082,26.19,766.7,1300.0,
14,adam,4.7099,26.15,4.5719,27.38,766.4,1400.0,
15,adam,4.5826,27.24,4.4446,28.5,766.6,1500.0,
1,sgd,11.0215,0.0,11.0258,0.0,771.2,100.0,
2,sgd,10.9576,0.0,10.8749,0.0,770.4,200.0,
3,sgd,10.7058,1.15,10.474,4.0,770.2,300.0,
4,sgd,10.2917,4.03,10.0065,3.87,770.5,400.0,
5,sgd,9.8098,4.18,9.5255,4.57,770.6,500.0,
6,sgd,9.3414,4.46,9.1374,5.05,769.3,600.0,
7,sgd,9.028,4.9,8.9085,5.68,768.1,700.0,
8,sgd,8.8287,6.14,8.7562,7.25,768.0,800.0,
9,sgd,8.6939,7.06,8.639,7.48,766.8,900.0,
10,sgd,8.582,7.41,8.5426,7.87,766.4,1000.0,
11,sgd,8.4925,7.94,8.4656,8.34,766.0,1100.0,
12,sgd,8.42,8.43,8.4028,8.76,766.8,1200.0,
13,sgd,8.3621,8.73,8.352,8.93,766.1,1300.0,
14,sgd,8.3145,8.91,8.3094,9.13,766.2,1400.0,
15,sgd,8.2731,9.1,8.2703,9.26,765.7,1500.0,
1,muon,11.0215,0.0,11.0258,0.0,775.4,100.0,22026.47
2,muon,9.1869,7.14,7.96,11.02,772.7,200.0,2863.94
3,muon,7.0453,13.5,6.665,14.79,772.5,300.0,784.45
4,muon,6.3928,15.33,6.1906,16.14,772.7,400.0,488.16
5,muon,6.0324,16.55,5.8568,17.46,773.4,500.0,349.59
6,muon,5.7424,17.93,5.5608,19.13,772.6,600.0,260.03
7,muon,5.4638,19.73,5.2557,21.22,774.2,700.0,191.65
8,muon,5.1771,21.78,4.9662,23.36,773.1,800.0,143.49
9,muon,4.9105,23.71,4.7168,25.17,772.4,900.0,111.81
10,muon,4.6751,25.59,4.4746,27.24,772.6,1000.0,87.76
11,muon,4.4652,27.5,4.2686,29.3,772.2,1100.0,71.42
12,muon,4.2889,29.17,4.1044,30.89,772.4,1200.0,60.61
13,muon,4.1478,30.44,3.9724,32.1,773.7,1300.0,53.11
14,muon,4.0318,31.43,3.8589,33.12,773.3,1400.0,47.41
15,muon,3.933,32.28,3.7586,34.04,772.9,1500.0,42.89
1,muon_sam,11.0214,0.0,11.0258,0.0,1488.3,100.0,22026.47
2,muon_sam,10.3765,2.98,9.7158,5.08,1487.6,200.0,16577.18
3,muon_sam,8.5209,6.74,7.6355,10.02,1486.5,300.0,2070.31
4,muon_sam,7.1421,12.49,6.8372,14.0,1488.2,400.0,931.83
5,muon_sam,6.5637,14.61,6.3817,15.2,1492.4,500.0,590.95
6,muon_sam,6.2279,15.57,6.0972,16.14,1492.9,600.0,444.63
7,muon_sam,5.9863,16.44,5.8654,17.05,1494.1,700.0,352.64
8,muon_sam,5.7843,17.29,5.6727,17.92,1494.0,800.0,290.82
9,muon_sam,5.6162,18.08,5.5135,18.58,1493.3,900.0,248.01
10,muon_sam,5.4708,18.8,5.3636,19.38,1494.4,1000.0,213.49
11,muon_sam,5.3323,19.58,5.2115,20.37,1495.5,1100.0,183.37
12,muon_sam,5.1893,20.54,5.0509,21.47,1493.4,1200.0,156.16
13,muon_sam,5.038,21.69,4.8828,22.77,1491.4,1300.0,132.0
14,muon_sam,4.8847,22.92,4.7235,24.16,1490.4,1400.0,112.56
15,muon_sam,4.7394,24.12,4.5769,25.4,1488.4,1500.0,97.21
