epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,time_s,step
1,muon_sam,10.9548,0.0,10.9574,0.0,518.2,100
2,muon_sam,10.9212,0.0,10.8914,0.0,517.2,200
3,muon_sam,10.7728,0.31,10.6649,1.27,518.1,300
4,muon_sam,10.4523,5.7,10.2588,9.05,518.0,400
5,muon_sam,9.8959,10.32,9.583,11.02,517.8,500
6,muon_sam,9.2718,11.65,9.042,12.27,518.1,600
7,muon_sam,8.816,13.02,8.6544,13.54,517.8,700
8,muon_sam,8.4543,14.03,8.3038,14.3,519.3,800
9,muon_sam,7.8346,14.62,7.5021,14.89,518.1,900
10,muon_sam,7.256,15.29,7.1185,15.62,517.3,1000
11,muon_sam,6.9573,16.39,6.8729,16.84,517.9,1100
12,muon_sam,6.7492,17.54,6.6919,17.89,518.2,1200
13,muon_sam,6.574,18.55,6.5217,18.81,519.2,1300
14,muon_sam,6.4103,19.46,6.3702,19.73,517.5,1400
