epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,time_s,step
1,sgd,10.9548,0.0,10.9574,0.0,292.8,100
2,sgd,10.8507,0.05,10.7505,0.47,291.7,200
3,sgd,10.4222,3.7,10.0816,4.44,292.1,300
4,sgd,9.5427,5.19,9.1592,6.62,291.7,400
5,sgd,8.9018,7.11,8.7418,7.68,291.0,500
6,sgd,8.6187,7.55,8.5416,7.85,291.6,600
7,sgd,8.5063,7.82,8.4583,8.15,292.3,700
8,sgd,8.4383,8.04,8.3883,8.41,292.3,800
9,sgd,8.3522,8.27,8.2661,8.68,291.2,900
10,sgd,8.2782,8.3,8.2568,8.44,291.1,1000
11,sgd,8.2089,8.21,8.1892,8.33,292.0,1100
12,sgd,8.1475,7.83,8.0771,7.94,291.3,1200
13,sgd,8.0599,7.62,8.095,7.17,291.8,1300
14,sgd,8.1014,6.38,8.0589,6.87,292.5,1400
