epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,val_perplexity,time_s
1,muon_sam_frob,2.3937,5.50,2.3693,10.60,0.00,25.5
2,muon_sam_frob,2.0717,13.98,1.8535,36.93,0.00,24.5
3,muon_sam_frob,1.6173,22.94,1.4109,51.26,0.00,24.3
4,muon_sam_frob,1.2364,29.13,1.0965,62.00,0.00,24.3
5,muon_sam_frob,0.9751,33.58,0.8920,69.09,0.00,24.3
6,muon_sam_frob,0.7992,36.52,0.7654,73.20,0.00,24.3
7,muon_sam_frob,0.6736,38.76,0.6606,77.16,0.00,24.3
1,muon_sam_stale,2.4041,5.41,2.3694,10.57,0.00,22.4
2,muon_sam_stale,2.0773,13.82,1.8568,37.01,0.00,22.3
3,muon_sam_stale,1.6192,22.92,1.4152,51.25,0.00,22.2
4,muon_sam_stale,1.2384,29.11,1.1166,60.91,0.00,22.3
5,muon_sam_stale,0.9769,33.48,0.9030,68.50,0.00,22.3
6,muon_sam_stale,0.8022,36.45,0.7788,72.61,0.00,22.4
7,muon_sam_stale,0.6771,38.64,0.6746,76.61,0.00,22.5
