epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,val_perplexity,time_s
1,sgd,11.0215,0.00,11.0258,0.00,22026.47,771.2
2,sgd,10.9576,0.00,10.8749,0.00,22026.47,770.4
3,sgd,10.7058,1.15,10.4740,4.00,22026.47,770.2
4,sgd,10.2917,4.03,10.0065,3.87,22026.47,770.5
5,sgd,9.8098,4.18,9.5255,4.57,13704.39,770.6
6,sgd,9.3414,4.46,9.1374,5.05,9296.11,769.3
7,sgd,9.0280,4.90,8.9085,5.68,7394.86,768.1
8,sgd,8.8287,6.14,8.7562,7.25,6349.70,768.0
9,sgd,8.6939,7.06,8.6390,7.48,5647.86,766.8
10,sgd,8.5820,7.41,8.5426,7.87,5128.75,766.4
11,sgd,8.4925,7.94,8.4656,8.34,4748.41,766.0
12,sgd,8.4200,8.43,8.4028,8.76,4459.51,766.8
13,sgd,8.3621,8.73,8.3520,8.93,4238.79,766.1
14,sgd,8.3145,8.91,8.3094,9.13,4061.80,766.2
15,sgd,8.2731,9.10,8.2703,9.26,3906.18,765.7
