epoch,optimizer,train_loss,val_loss,Perplexity,time_s,step
1,atlas,11.7224,11.0258,22026.47,770.3,100
2,atlas,8.3145,7.2816,1453.35,764.3,200
3,atlas,6.6795,6.3191,555.09,764.4,300
4,atlas,6.0084,5.7763,322.56,764.1,400
5,atlas,5.6134,5.3984,221.06,765.5,500
6,atlas,5.1944,4.9205,137.08,767.4,600
7,atlas,4.8293,4.5899,98.48,767.4,700
8,atlas,4.54,4.2914,73.07,768.3,800
9,atlas,4.3009,4.0774,58.99,768.7,900
10,atlas,4.1191,3.9112,49.96,768.2,1000
11,atlas,3.9747,3.7725,43.49,769.6,1100
12,atlas,3.8563,3.6586,38.81,770.1,1200
13,atlas,3.7639,3.5659,35.37,769.0,1300
14,atlas,3.6895,3.4821,32.53,769.9,1400
15,atlas,3.6257,3.4128,30.35,770.4,1500
16,atlas,3.5731,3.3546,28.64,770.3,1600
17,atlas,3.5289,3.3101,27.39,770.4,1700
18,atlas,3.4913,3.2692,26.29,769.8,1800
19,atlas,3.4599,3.2328,25.35,770.0,1900
20,atlas,3.4339,3.2002,24.54,770.3,2000
1,atlas_raw,11.3357,11.0258,22026.47,777.8,100
2,atlas_raw,8.2995,7.1897,1325.77,770.3,200
3,atlas_raw,6.573,6.1758,480.95,770.6,300
4,atlas_raw,5.8963,5.6576,286.47,768.9,400
5,atlas_raw,5.4652,5.1685,175.64,767.5,500
6,atlas_raw,4.9889,4.7098,111.03,767.3,600
7,atlas_raw,4.6017,4.3408,76.77,766.5,700
8,atlas_raw,4.3013,4.0812,59.22,766.5,800
9,atlas_raw,4.0985,3.9024,49.52,767.5,900
10,atlas_raw,3.959,3.7668,43.24,767.0,1000
11,atlas_raw,3.8555,3.6713,39.3,766.5,1100
12,atlas_raw,3.7773,3.5904,36.25,766.5,1200
13,atlas_raw,3.7131,3.529,34.09,766.8,1300
14,atlas_raw,3.6628,3.4648,31.97,767.0,1400
15,atlas_raw,3.6204,3.4109,30.29,767.7,1500
16,atlas_raw,3.5838,3.3766,29.27,766.9,1600
17,atlas_raw,3.541,3.3343,28.06,767.0,1700
18,atlas_raw,3.4893,3.2742,26.42,766.6,1800
19,atlas_raw,3.442,3.2276,25.22,766.8,1900
20,atlas_raw,3.4012,3.1759,23.95,766.4,2000
1,atlas_random,11.1282,11.0258,22026.47,774.1,100
2,atlas_random,7.7076,6.7889,887.91,766.6,200
3,atlas_random,6.3163,6.0191,411.2,766.5,300
4,atlas_random,5.779,5.5444,255.8,767.0,400
5,atlas_random,5.3326,5.0199,151.39,767.1,500
6,atlas_random,4.8443,4.5675,96.3,767.3,600
7,atlas_random,4.4664,4.2258,68.43,767.4,700
8,atlas_random,4.2078,4.0075,55.01,767.6,800
9,atlas_random,4.0382,3.8484,46.92,767.5,900
10,atlas_random,3.9149,3.7377,42.0,767.1,1000
11,atlas_random,3.8219,3.6356,37.93,767.3,1100
12,atlas_random,3.7484,3.5597,35.15,767.8,1200
13,atlas_random,3.688,3.4917,32.84,768.4,1300
14,atlas_random,3.6362,3.4446,31.33,767.9,1400
15,atlas_random,3.5929,3.3874,29.59,768.0,1500
16,atlas_random,3.5537,3.3514,28.54,767.3,1600
17,atlas_random,3.5181,3.2967,27.02,767.1,1700
18,atlas_random,3.4831,3.2583,26.01,766.7,1800
19,atlas_random,3.4477,3.2174,24.96,766.7,1900
20,atlas_random,3.4141,3.1906,24.3,766.3,2000
1,muon,11.0215,11.0258,22026.47,757.2,100
2,muon,9.1143,8.5877,5365.19,756.0,200
3,muon,8.1527,7.75,2321.46,755.2,300
4,muon,7.1812,6.786,885.39,754.8,400
5,muon,6.511,6.2568,521.57,755.5,500
6,muon,6.0378,5.8052,332.03,755.4,600
7,muon,5.6614,5.4454,231.69,756.0,700
8,muon,5.3596,5.1511,172.62,755.5,800
9,muon,5.1082,4.9132,136.07,755.7,900
10,muon,4.9081,4.7255,112.79,755.7,1000
11,muon,4.7476,4.5762,97.14,755.3,1100
12,muon,4.6165,4.4475,85.41,755.3,1200
13,muon,4.5074,4.3405,76.75,755.4,1300
14,muon,4.4142,4.2524,70.27,756.1,1400
15,muon,4.3358,4.1759,65.1,755.4,1500
16,muon,4.2654,4.1057,60.68,764.2,1600
17,muon,4.2036,4.0412,56.9,755.9,1700
