epoch,optimizer,train_loss,val_loss,Perplexity,time_s
1,atlas,9.2118,2.3403,10.38,10.5
2,atlas,1.0348,0.4023,1.50,9.0
3,atlas,0.2290,0.3865,1.47,9.0
4,atlas,0.1886,0.3807,1.46,9.0
5,atlas,0.1835,0.3712,1.45,9.0
1,muon,8.6701,3.0203,20.50,8.5
2,muon,1.9463,0.6256,1.87,8.5
3,muon,0.4164,0.4353,1.55,8.5
4,muon,0.2943,0.4267,1.53,8.5
5,muon,0.2874,0.4216,1.52,8.5
1,adam,9.7775,5.9918,400.14,8.4
2,adam,6.4278,5.6397,281.39,8.3
3,adam,5.4925,5.6217,276.37,8.3
4,adam,5.4497,5.6135,274.10,8.3
5,adam,5.4462,5.6032,271.28,8.4
1,sgd,10.9954,10.9755,58425.53,8.3
2,sgd,10.9549,10.9025,54311.33,8.3
3,sgd,10.9020,10.8659,52359.77,8.3
4,sgd,10.8810,10.8624,52177.13,8.3
5,sgd,10.8803,10.8605,52078.23,8.3
