epoch,optimizer,train_loss,val_loss,Val Acc (%),time_s
1,atlas,1.3596,1.1026,63.65,11.2
2,atlas,0.7176,0.7159,75.95,11.1
3,atlas,0.5404,0.5667,80.88,11.1
4,atlas,0.4213,0.4842,83.52,11.1
5,atlas,0.3573,0.4501,84.60,11.1
1,muon,1.3717,0.9785,66.95,11.2
2,muon,0.7350,0.7016,76.05,11.1
3,muon,0.5553,0.5552,81.23,11.1
4,muon,0.4391,0.4880,83.37,11.2
5,muon,0.3748,0.4688,83.53,11.1
1,adam,1.4971,1.5614,45.80,11.2
2,adam,1.0629,1.0019,64.86,11.1
3,adam,0.8898,0.9036,68.63,10.9
4,adam,0.7680,0.7775,72.93,10.9
5,adam,0.6992,0.7171,75.33,10.9
1,sgd,2.3287,2.2275,18.74,11.1
2,sgd,2.1707,2.1180,23.20,11.0
3,sgd,2.0949,2.0730,24.73,10.9
4,sgd,2.0636,2.0552,25.74,10.9
5,sgd,2.0531,2.0519,25.87,11.0
