epoch,optimizer,train_loss,val_loss,Val Acc (%),time_s
1,atlas,1.3659,0.9490,66.14,12.9
2,atlas,0.7310,0.6615,77.26,12.7
3,atlas,0.5456,0.5439,81.02,12.7
4,atlas,0.4304,0.4829,83.36,12.8
5,atlas,0.3660,0.4562,84.36,12.8
1,muon,1.4260,0.8929,68.65,12.8
2,muon,0.7556,0.6683,76.66,12.8
3,muon,0.5705,0.5500,80.99,12.6
4,muon,0.4580,0.4873,83.22,12.8
5,muon,0.3941,0.4728,83.74,12.7
1,adam,1.4664,1.3047,55.32,12.7
2,adam,1.0316,1.0209,63.84,12.5
3,adam,0.8465,0.8453,70.82,12.5
4,adam,0.7205,0.6943,75.55,12.5
5,adam,0.6405,0.6540,77.41,12.5
1,sgd,2.1199,1.9022,31.39,12.6
2,sgd,1.8022,1.7307,37.25,12.6
3,sgd,1.6911,1.6543,39.84,12.7
4,sgd,1.6462,1.6326,40.64,12.6
5,sgd,1.6316,1.6201,40.96,12.6
