epoch,optimizer,train_loss,val_loss,Perplexity,time_s
1,atlas,8.5250,1.8932,6.64,2.7
2,atlas,1.0607,0.7140,2.04,2.3
3,atlas,0.4830,0.6117,1.84,2.3
4,atlas,0.4013,0.6016,1.83,2.3
5,atlas,0.3911,0.5958,1.81,2.3
1,muon,8.9624,4.5306,92.82,2.2
2,muon,3.6407,2.7439,15.55,2.2
3,muon,2.4018,2.1211,8.34,2.2
4,muon,1.9784,2.0188,7.53,2.2
5,muon,1.9300,1.9595,7.10,2.2
1,adam,9.7413,6.5778,718.93,2.2
2,adam,5.0763,2.7092,15.02,2.2
3,adam,1.9426,1.3499,3.86,2.2
4,adam,1.1404,1.2157,3.37,2.2
5,adam,1.0744,1.1474,3.15,2.2
1,sgd,10.9702,10.9687,58030.25,2.2
2,sgd,10.9625,10.9580,57409.38,2.2
3,sgd,10.9541,10.9520,57069.16,2.2
4,sgd,10.9485,10.9514,57031.39,2.2
5,sgd,10.9507,10.9510,57012.28,2.2
