epoch,optimizer,train_loss,val_loss,Perplexity,time_s,step
1,atlas,11.0974,10.9574,22026.47,290.5,100
2,atlas,8.1673,6.9532,1046.45,289.5,200
3,atlas,6.4386,6.1983,491.93,291.0,300
4,atlas,5.9216,5.7223,305.61,290.5,400
5,atlas,5.4425,5.2081,182.75,290.1,500
6,atlas,4.9687,4.7797,119.07,290.4,600
7,atlas,4.6048,4.4495,85.58,290.9,700
8,atlas,4.3197,4.2053,67.04,289.8,800
9,atlas,4.1208,4.0354,56.56,289.7,900
10,atlas,3.9806,3.9101,49.91,290.1,1000
11,atlas,3.8734,3.8118,45.23,290.1,1100
12,atlas,3.7891,3.7356,41.91,289.8,1200
13,atlas,3.7155,3.6614,38.92,290.4,1300
14,atlas,3.6513,3.6043,36.76,290.1,1400
15,atlas,3.6029,3.5729,35.62,289.5,1500
16,atlas,3.5608,3.5217,33.84,289.5,1600
17,atlas,3.5186,3.4784,32.41,289.8,1700
18,atlas,3.4846,3.4506,31.52,289.7,1800
19,atlas,3.4542,3.4234,30.67,289.7,1900
20,atlas,3.425,3.3907,29.69,289.7,2000
1,atlas_raw,11.0117,10.9574,22026.47,293.7,100
2,atlas_raw,8.0889,6.8846,977.15,291.2,200
3,atlas_raw,6.372,6.1217,455.65,291.0,300
4,atlas_raw,5.8125,5.5622,260.4,290.8,400
5,atlas_raw,5.242,5.0047,149.11,291.0,500
6,atlas_raw,4.7889,4.6173,101.22,291.3,600
7,atlas_raw,4.4543,4.3211,75.27,290.3,700
8,atlas_raw,4.2149,4.1173,61.39,291.0,800
9,atlas_raw,4.051,3.9746,53.23,291.3,900
10,atlas_raw,3.9305,3.8679,47.84,291.4,1000
11,atlas_raw,3.8363,3.7805,43.84,291.5,1100
12,atlas_raw,3.7582,3.7087,40.8,291.1,1200
13,atlas_raw,3.6931,3.6448,38.27,291.1,1300
14,atlas_raw,3.6377,3.5931,36.34,291.6,1400
15,atlas_raw,3.5897,3.5549,34.99,291.5,1500
16,atlas_raw,3.549,3.5128,33.54,291.2,1600
17,atlas_raw,3.5121,3.4691,32.11,291.2,1700
18,atlas_raw,3.4804,3.4469,31.4,290.8,1800
19,atlas_raw,3.4504,3.4257,30.74,290.3,1900
20,atlas_raw,3.4253,3.3884,29.62,290.6,2000
1,atlas_random,10.9917,10.9574,22026.47,292.1,100
2,atlas_random,8.0617,6.8724,965.24,289.5,200
3,atlas_random,6.3563,6.1025,446.96,289.8,300
4,atlas_random,5.7856,5.5147,248.31,289.6,400
5,atlas_random,5.1967,4.9647,143.26,289.9,500
6,atlas_random,4.7554,4.582,97.71,289.8,600
7,atlas_random,4.4278,4.2959,73.4,290.1,700
8,atlas_random,4.1997,4.1028,60.51,290.1,800
9,atlas_random,4.0415,3.9669,52.82,295.7,900
10,atlas_random,3.9251,3.8629,47.6,290.6,1000
11,atlas_random,3.8343,3.7761,43.65,290.2,1100
12,atlas_random,3.7581,3.7077,40.76,289.9,1200
13,atlas_random,3.6926,3.6435,38.23,289.9,1300
14,atlas_random,3.6365,3.5906,36.26,290.3,1400
15,atlas_random,3.5883,3.5518,34.88,290.2,1500
16,atlas_random,3.5489,3.5185,33.73,290.2,1600
17,atlas_random,3.5127,3.4804,32.47,290.6,1700
18,atlas_random,3.4812,3.4418,31.24,290.5,1800
19,atlas_random,3.4535,3.4226,30.65,290.7,1900
20,atlas_random,3.4274,3.3975,29.89,290.5,2000
1,muon,10.9548,10.9574,22026.47,289.0,100
2,muon,9.8892,9.3456,11448.18,287.6,200
3,muon,8.8962,8.5727,5285.5,287.1,300
4,muon,7.9649,7.4875,1785.57,287.3,400
5,muon,7.0364,6.7335,840.07,287.3,500
6,muon,6.3136,6.0797,436.91,286.8,600
7,muon,5.8344,5.6816,293.41,287.1,700
8,muon,5.5077,5.3949,220.29,287.0,800
9,muon,5.2677,5.1872,178.96,286.5,900
10,muon,5.0883,5.0251,152.19,287.0,1000
11,muon,4.9427,4.8899,132.94,286.6,1100
12,muon,4.8201,4.7742,118.42,287.2,1200
13,muon,4.7133,4.6756,107.29,287.5,1300
14,muon,4.6205,4.5885,98.35,287.0,1400
15,muon,4.5387,4.5115,91.06,286.8,1500
16,muon,4.4638,4.4384,84.64,286.9,1600
17,muon,4.3955,4.3718,79.19,287.1,1700
18,muon,4.3326,4.3106,74.48,287.3,1800
19,muon,4.2744,4.2534,70.34,287.2,1900
20,muon,4.2197,4.2028,66.87,286.8,2000
1,adam,10.9548,10.9574,22026.47,286.9,100
2,adam,7.9833,7.0469,1149.34,286.0,200
3,adam,6.5473,6.2933,540.95,285.4,300
4,adam,6.0436,5.8442,345.22,285.6,400
5,adam,5.6307,5.4692,237.27,285.7,500
6,adam,5.303,5.1757,176.93,285.8,600
7,adam,5.0611,4.9706,144.11,286.0,700
8,adam,4.8666,4.7917,120.51,285.8,800
9,adam,4.7012,4.662,105.85,285.7,900
10,adam,4.5556,4.524,92.2,285.7,1000
11,adam,4.4202,4.3801,79.85,286.1,1100
12,adam,4.2981,4.2518,70.23,285.9,1200
13,adam,4.1877,4.1437,63.04,285.8,1300
14,adam,4.0945,4.0487,57.32,285.8,1400
15,adam,4.0145,3.9689,52.93,285.9,1500
16,adam,3.9398,3.9009,49.45,285.8,1600
17,adam,3.8726,3.8398,46.51,286.0,1700
18,adam,3.8087,3.7758,43.63,285.9,1800
19,adam,3.7472,3.7185,41.2,286.8,1900
20,adam,3.6873,3.6516,38.54,286.1,2000
1,sgd,10.9548,10.9574,22026.47,288.8,100
2,sgd,10.9509,10.9495,22026.47,287.0,200
3,sgd,10.9366,10.9288,22026.47,286.9,300
4,sgd,10.9083,10.8926,22026.47,286.8,400
5,sgd,10.8616,10.834,22026.47,286.4,500
6,sgd,10.7913,10.753,22026.47,286.4,600
7,sgd,10.7017,10.6575,22026.47,286.8,700
8,sgd,10.5982,10.5454,22026.47,286.4,800
9,sgd,10.4807,10.4214,22026.47,286.4,900
10,sgd,10.346,10.2728,22026.47,286.4,1000
11,sgd,10.1878,10.106,22026.47,286.5,1100
12,sgd,10.0154,9.9239,20411.83,286.7,1200
13,sgd,9.8327,9.7379,16948.58,287.0,1300
14,sgd,9.6413,9.5403,13908.98,286.8,1400
15,sgd,9.4581,9.3683,11710.65,286.9,1500
16,sgd,9.2957,9.2153,10049.52,287.1,1600
17,sgd,9.1548,9.0855,8826.32,286.9,1700
18,sgd,9.0345,8.9814,7953.43,286.9,1800
19,sgd,8.9489,8.9144,7438.19,287.0,1900
20,sgd,8.8913,8.8661,7087.62,286.9,2000
