epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,val_perplexity,time_s
1,muon,10.9548,0.00,10.9574,0.00,22026.47,296.1
2,muon,10.1926,4.84,9.4456,8.75,12652.99,296.6
3,muon,7.8200,11.59,7.0521,13.76,1155.23,296.2
4,muon,6.6265,14.63,6.4064,15.19,605.70,295.0
5,muon,6.1800,15.96,6.0550,16.48,426.26,294.8
6,muon,5.8559,17.48,5.7095,18.49,301.71,294.9
7,muon,5.4905,19.93,5.3339,20.99,207.25,294.6
8,muon,5.1590,22.13,5.0325,23.00,153.31,295.2
9,muon,4.8951,24.01,4.7872,24.78,119.96,294.6
10,muon,4.6740,25.80,4.5784,26.58,97.36,294.6
11,muon,4.4783,27.65,4.3951,28.34,81.06,297.2
12,muon,4.3142,29.21,4.2439,29.80,69.68,294.8
13,muon,4.1804,30.46,4.1213,30.97,61.64,295.1
14,muon,4.0690,31.48,4.0169,31.87,55.53,295.9
1,muon_sam,10.9548,0.00,10.9574,0.00,22026.47,522.3
2,muon_sam,10.6995,0.27,10.4422,1.29,22026.47,522.4
3,muon_sam,9.4676,5.97,8.5894,7.85,5374.23,520.4
4,muon_sam,7.6127,10.81,7.1421,13.11,1264.13,520.4
5,muon_sam,6.7628,14.06,6.5504,14.53,699.50,520.9
6,muon_sam,6.3408,15.19,6.2443,15.58,515.06,520.0
7,muon_sam,6.0977,16.05,6.0320,16.26,416.53,524.1
8,muon_sam,5.9054,16.59,5.8481,16.69,346.56,521.0
9,muon_sam,5.7352,17.09,5.6828,17.24,293.76,521.2
10,muon_sam,5.5783,17.74,5.5220,18.06,250.13,520.9
11,muon_sam,5.4075,18.88,5.3264,19.57,205.69,523.5
12,muon_sam,5.1979,20.54,5.1109,21.15,165.82,535.9
13,muon_sam,4.9981,22.10,4.9237,22.65,137.51,522.4
14,muon_sam,4.8280,23.48,4.7622,23.97,117.00,521.8
