algorithm,alpha,lr,rho,seed,iter,F,gap,dist_to_Wstar,gradnorm,sharpness_gap,diverged,wall_time_s
fsam,1.2,0.003,0.01,0,10,0.30995792150497437,0.3068706323392689,35.216835021972656,0.012258496135473251,-2.980232238769531e-07,0,0.03126883506774902
fsam,1.2,0.003,0.01,0,20,0.478351354598999,0.4752640654332936,48.62660598754883,0.013636447489261627,-5.960464477539063e-08,0,0.05893278121948242
fsam,1.2,0.003,0.01,0,30,0.6425742506980896,0.6394869615323842,59.76200485229492,0.01482071727514267,-7.152557373046875e-07,0,0.08577942848205566
fsam,1.2,0.003,0.01,0,40,0.792593240737915,0.7895059515722096,69.27552032470703,0.015815481543540955,-1.3709068298339844e-06,0,0.11633133888244629
fsam,1.2,0.003,0.01,0,50,0.9566433429718018,0.9535560538060963,78.94241333007812,0.016831375658512115,-4.76837158203125e-07,0,0.14290094375610352
fsam,1.2,0.003,0.01,0,60,1.0631603002548218,1.0600730110891163,85.32603454589844,0.017458230257034302,7.152557373046875e-07,0,0.16899514198303223
fsam,1.2,0.003,0.01,0,70,1.1679086685180664,1.164821379352361,90.96870422363281,0.01805291883647442,0.0,0,0.19486618041992188
fsam,1.2,0.003,0.01,0,80,1.2617948055267334,1.258707516361028,95.7512435913086,0.01857883483171463,2.384185791015625e-07,0,0.22048592567443848
fsam,1.2,0.003,0.01,0,90,1.3838523626327515,1.380765073467046,102.03665924072266,0.019228165969252586,3.5762786865234375e-07,0,0.24607563018798828
fsam,1.2,0.003,0.01,0,100,1.4811673164367676,nan,nan,nan,nan,1,0.2699553966522217
fsam,1.2,0.003,0.01,1,10,0.3728371262550354,0.36974983708932996,42.057289123535156,0.012768994085490704,1.4901161193847656e-07,0,0.02607583999633789
fsam,1.2,0.003,0.01,1,20,0.5572682023048401,0.5541809131391346,54.32561111450195,0.014210797846317291,0.0,0,0.05192208290100098
fsam,1.2,0.003,0.01,1,30,0.6964427828788757,0.6933554937131703,63.1888427734375,0.015193341299891472,1.6689300537109375e-06,0,0.07802700996398926
fsam,1.2,0.003,0.01,1,40,0.84212327003479,0.8390359808690846,72.10188293457031,0.01611921563744545,8.940696716308594e-07,0,0.10427045822143555
fsam,1.2,0.003,0.01,1,50,0.9484177827835083,0.9453304936178029,78.40168762207031,0.016762882471084595,1.1920928955078125e-06,0,0.13023138046264648
fsam,1.2,0.003,0.01,1,60,1.0923373699188232,1.0892500807531178,86.3820571899414,0.017629370093345642,5.960464477539062e-07,0,0.1559133529663086
fsam,1.2,0.003,0.01,1,70,1.2041144371032715,1.201027147937566,92.3434066772461,0.018263615667819977,-2.1457672119140625e-06,0,0.18155217170715332
fsam,1.2,0.003,0.01,1,80,1.307708978652954,1.3046216894872487,97.86701965332031,0.018830223008990288,-2.384185791015625e-07,0,0.20697736740112305
fsam,1.2,0.003,0.01,1,90,1.4318668842315674,nan,nan,nan,nan,1,0.23143410682678223
fsam,1.2,0.003,0.01,2,10,0.23439793288707733,0.2313106437213719,26.035287857055664,0.011591416783630848,-2.0116567611694336e-06,0,0.02562713623046875
fsam,1.2,0.003,0.01,2,20,0.4234209656715393,0.42033367650583386,43.150604248046875,0.013168596662580967,-5.960464477539063e-08,0,0.05115699768066406
fsam,1.2,0.003,0.01,2,30,0.599652886390686,0.5965655972249806,56.15795135498047,0.014486235566437244,-1.0132789611816406e-06,0,0.07682251930236816
fsam,1.2,0.003,0.01,2,40,0.7354958057403564,0.732408516574651,64.7000961303711,0.015412578359246254,2.384185791015625e-07,0,0.10261988639831543
fsam,1.2,0.003,0.01,2,50,0.8721990585327148,0.8691117693670094,73.17792510986328,0.016270479187369347,-8.344650268554688e-07,0,0.1282031536102295
fsam,1.2,0.003,0.01,2,60,0.993234395980835,0.9901471068151295,80.44644165039062,0.01701580174267292,1.430511474609375e-06,0,0.15384674072265625
