algorithm,alpha,lr,rho,mean_final_F,std_final_F,mean_gap,mean_dist,mean_gradnorm,mean_sharpness_gap,divergence_rate,mean_wall_time_s,n_seeds
fsam,1.2,0.003,0.01,1.4411064863204956,0.026924170775813765,,,,,1.0,0.24452662467956543,5
fsam,1.2,0.003,0.02,1.4411064863204956,0.02692417077581376,,,,,1.0,0.2432712078094482,5
fsam,1.2,0.003,0.05,1.4411064863204956,0.026924170775813785,,,,,1.0,0.23526158332824704,5
fsam,1.2,0.003,0.1,1.4411064863204956,0.02692417077581376,,,,,1.0,0.2361704349517822,5
fsam,1.2,0.01,0.01,1.4738996505737305,0.154788037323799,,,,,1.0,0.053725957870483364,5
fsam,1.2,0.01,0.02,1.4738996028900146,0.1547880632359008,,,,,1.0,0.054194641113281206,5
fsam,1.2,0.01,0.05,1.4738996267318725,0.15478804644117974,,,,,1.0,0.053350639343261674,5
fsam,1.2,0.01,0.1,1.4738996267318725,0.15478804644117974,,,,,1.0,0.05449309349060054,5
fsam,1.2,0.03,0.01,2.128904104232788,0.04047973045567358,,,,,1.0,0.02332420349121088,5
fsam,1.2,0.03,0.02,2.128904104232788,0.04047973045567358,,,,,1.0,0.02401213645935052,5
fsam,1.2,0.03,0.05,2.128904104232788,0.04047973045567358,,,,,1.0,0.02516722679138178,5
fsam,1.2,0.03,0.1,2.128904104232788,0.04047973045567358,,,,,1.0,0.02932438850402826,5
fsam,1.2,0.1,0.01,6.055472660064697,0.08890254392946527,,,,,1.0,0.03386063575744624,5
fsam,1.2,0.1,0.02,6.055472660064697,0.08890254392946514,,,,,1.0,0.03798151016235346,5
fsam,1.2,0.1,0.05,6.055472660064697,0.08890254392946514,,,,,1.0,0.038069486618041944,5
fsam,1.2,0.1,0.1,6.055472660064697,0.08890254392946542,,,,,1.0,0.025334501266479438,5
fsam,1.6,0.003,0.01,1.290553045272827,0.018089006730522026,1.2874657561071217,96.30083312988282,0.018720399215817397,1.0728836059570312e-06,0.0,2.5944883823394775,5
fsam,1.6,0.003,0.02,1.2905530214309693,0.0180890173949408,1.2874657322652638,96.30083160400392,0.018720399215817397,2.169609069824219e-06,0.0,2.3878238201141357,5
fsam,1.6,0.003,0.05,1.2905530214309693,0.01808901739494078,1.2874657322652638,96.30083312988282,0.018720399215817418,5.53131103515625e-06,0.0,2.5761680603027344,5
fsam,1.6,0.003,0.1,1.2905530214309693,0.018089017394940784,1.2874657322652638,96.30083312988282,0.018720399215817397,1.1491775512695313e-05,0.0,2.874472427368164,5
fsam,1.6,0.01,0.01,1.417184591293335,0.02455955391108475,,,,,1.0,0.5009173393249512,5
fsam,1.6,0.01,0.02,1.417184591293335,0.024559553911084785,,,,,1.0,0.6779934883117675,5
fsam,1.6,0.01,0.05,1.417184591293335,0.024559553911084817,,,,,1.0,0.6599615097045899,5
fsam,1.6,0.01,0.1,1.417184591293335,0.02455955391108479,,,,,1.0,0.46988468170166015,5
fsam,1.6,0.03,0.01,1.5450107097625732,0.12498280905820892,,,,,1.0,0.09437942504882808,5
fsam,1.6,0.03,0.02,1.545010757446289,0.12498280787420227,,,,,1.0,0.08915948867797846,5
fsam,1.6,0.03,0.05,1.5450107097625732,0.12498280905820892,,,,,1.0,0.08253612518310541,5
fsam,1.6,0.03,0.1,1.5450107097625732,0.12498279028644055,,,,,1.0,0.08183379173278807,5
fsam,1.6,0.1,0.01,2.4116641998291017,0.030982382708469574,,,,,1.0,0.022968053817749003,5
fsam,1.6,0.1,0.02,2.4116642475128174,0.03098235387961065,,,,,1.0,0.02295827865600582,5
fsam,1.6,0.1,0.05,2.4116642475128174,0.030982353879610677,,,,,1.0,0.02294073104858394,5
fsam,1.6,0.1,0.1,2.411664295196533,0.030982325051091827,,,,,1.0,0.0229169845581054,5
fsam,2.0,0.003,0.01,0.37283425331115716,0.014709974579299538,0.3697469641454518,36.08006210327149,0.012847004272043619,5.483627319335937e-07,0.0,2.362698459625244,5
fsam,2.0,0.003,0.02,0.37283425331115716,0.014709974579299533,0.3697469641454518,36.08006210327149,0.01284700445830814,1.1265277862548827e-06,0.0,2.366665267944336,5
fsam,2.0,0.003,0.05,0.37283424139022825,0.014709988042990499,0.3697469522245228,36.08006210327149,0.01284700445830814,3.2186508178710938e-06,0.0,2.421906900405884,5
fsam,2.0,0.003,0.1,0.3728342533111572,0.014709983795763742,0.3697469641454518,36.08006210327149,0.01284700445830814,7.361173629760742e-06,0.0,2.8366000652313232,5
fsam,2.0,0.01,0.01,1.3905849695205688,0.003921182366302048,,,,,1.0,2.574574375152588,5
fsam,2.0,0.01,0.02,1.3905850172042846,0.003921179963687686,,,,,1.0,2.593823194503784,5
fsam,2.0,0.01,0.05,1.3905850172042846,0.003921187492804631,,,,,1.0,2.2256203651428224,5
fsam,2.0,0.01,0.1,1.3905849695205688,0.003921216091357458,,,,,1.0,2.0950531482696535,5
fsam,2.0,0.03,0.01,1.4441445589065551,0.010497880157324292,,,,,1.0,0.30285158157348624,5
