### Final Loss and Accuracy Results

#### Experiment 1: CIFAR-10 Image Classification
| Optimizer | Final Train Loss | Final Train Acc | Final Val Loss | Final Val Acc |
| :--- | :--- | :--- | :--- | :--- |
| **Atlas** | 0.6427 | 78.52% | 0.7338 | 75.39% |
| **Atlas Raw** | 0.5910 | 80.06% | 0.7336 | 75.47% |
| **Atlas Random** | 0.5771 | 80.54% | 0.7683 | 74.91% |
| **Muon** | 0.5922 | 80.16% | 0.6242 | 78.50% |
| **AdamW** | 1.0577 | 63.27% | 1.0548 | 62.87% |
| **SGD (Fixed)** | 2.2712 | 16.02% | 2.2474 | 17.56% |
| **Muon-SAM** | 0.9166 | 34.67% | 0.8812 | 69.37% |

#### Experiment 2: nanoGPT Continual Pre-Training
| Optimizer | Final Train Loss | Final Train Acc | Final Val Loss | Final Val Acc |
| :--- | :--- | :--- | :--- | :--- |
| **Atlas** | 4.2237 | 29.02% | 4.0431 | 30.89% |
| **Atlas Raw** | 3.9505 | 32.02% | 3.7754 | 33.81% |
| **Atlas Random** | 3.9176 | 32.40% | 3.7416 | 34.15% |
| **Muon** | 5.4226 | 26.67% | 5.2652 | 28.07% |
| **AdamW** | 4.5826 | 27.24% | 4.4446 | 28.50% |
| **SGD (Fixed)** | 8.2731 | 9.10% | 8.2703 | 9.26% |
| **Muon-SAM** | 5.9216 | 21.07% | 5.8063 | 22.00% |

#### Experiment 3: Pythia-70M Continual Pre-Training
| Optimizer | Final Train Loss | Final Train Acc | Final Val Loss | Final Val Acc |
| :--- | :--- | :--- | :--- | :--- |
| **Atlas** | 4.2337 | 29.34% | 4.1612 | 30.06% |
| **Atlas Raw** | 4.0775 | 31.29% | 4.0240 | 31.73% |
| **Atlas Random** | 4.0635 | 31.47% | 4.0107 | 31.91% |
| **Muon** | 5.9839 | 25.52% | 5.9381 | 25.76% |
| **AdamW** | 4.9518 | 23.79% | 4.9156 | 23.91% |
| **SGD (Fixed)** | 8.1014 | 6.38% | 8.0589 | 6.87% |
| **Muon-SAM** | 6.4103 | 19.46% | 6.3702 | 19.73% |

