config_id,optimizer,checkpoint,method,wbits,group_size,calib_seed,calib_nsamples,wikitext2_ppl,fineweb_ppl,fineweb_acc,test_acc,test_loss,quant_time_s,status
cifar10_cnn,adam,cifar10_cnn_adam_epoch7.pt,fp,16,,,,,,,62.9,1.054449609375,0.0,ok
cifar10_cnn,adam,cifar10_cnn_adam_epoch7.pt,awq,4,128,0,1024,,,,62.14,1.071328289794922,2.91,ok
cifar10_cnn,adam,cifar10_cnn_adam_epoch7.pt,awq,4,128,1,1024,,,,62.12,1.0698423767089844,2.6,ok
cifar10_cnn,adam,cifar10_cnn_adam_epoch7.pt,awq,4,128,2,1024,,,,60.04,1.110665072631836,2.6,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,fp,16,,,,,,,77.1,0.6650696380615234,0.0,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,4,128,0,1024,,,,76.34,0.6833851898193359,2.36,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,4,128,1,1024,,,,76.14,0.6924882385253907,2.15,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,4,128,2,1024,,,,76.91,0.67301455078125,2.66,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,3,128,0,1024,,,,74.99,0.7350703552246094,2.95,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,3,128,1,1024,,,,71.2,0.8559334014892578,3.01,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,3,128,2,1024,,,,71.36,0.8440108642578125,2.97,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,4,-1,0,1024,,,,75.78,0.692567822265625,3.02,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,4,-1,1,1024,,,,75.05,0.7307788696289063,2.6,ok
cifar10_cnn,muon,cifar10_cnn_muon_epoch7.pt,awq,4,-1,2,1024,,,,74.98,0.720473193359375,2.82,ok
cifar10_cnn,sgd,cifar10_cnn_sgd_epoch7.pt,fp,16,,,,,,,60.91,1.109352685546875,0.0,ok
cifar10_cnn,sgd,cifar10_cnn_sgd_epoch7.pt,awq,4,128,0,1024,,,,60.95,1.120965802001953,3.25,ok
cifar10_cnn,sgd,cifar10_cnn_sgd_epoch7.pt,awq,4,128,1,1024,,,,61.72,1.0942266052246095,2.63,ok
cifar10_cnn,sgd,cifar10_cnn_sgd_epoch7.pt,awq,4,128,2,1024,,,,60.53,1.1142693786621094,2.64,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,fp,16,,,,,,,10.21,2.2974419189453124,0.0,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,4,128,0,1024,,,,10.17,2.2981982177734377,2.82,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,4,128,1,1024,,,,10.18,2.2981884765625,2.63,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,4,128,2,1024,,,,10.17,2.298225817871094,2.64,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,3,128,0,1024,,,,10.14,2.299271545410156,2.38,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,3,128,1,1024,,,,10.15,2.2989736450195313,2.63,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,3,128,2,1024,,,,10.14,2.29921064453125,2.62,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,4,-1,0,1024,,,,10.18,2.2980396484375,2.78,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,4,-1,1,1024,,,,10.18,2.29804814453125,4.67,ok
cifar10_cnn,muon_sam,cifar10_cnn_muon_sam_epoch7.pt,awq,4,-1,2,1024,,,,10.17,2.298099084472656,4.5,ok
cifar10_cnn,atlas_raw,cifar10_cnn_atlas_raw_epoch7.pt,fp,16,,,,,,,14.9,2.4313147827148436,0.0,ok
