algorithm,alpha,lr,rho,mean_final_F,std_final_F,mean_gap,mean_dist,mean_gradnorm,mean_sharpness_gap,divergence_rate,mean_wall_time_s,n_seeds
atlas,1.2,0.005,0.01,0.10584025681018824,0.005313066842047171,0.10275296764448283,11.590372276306152,0.0102614717558026,-7.620304822921752e-05,0.0,2.741224241256714,5
atlas,1.6,0.005,0.01,0.10182083100080483,0.002416903868537039,0.09873354183509941,11.188100624084473,0.010201625712215839,-5.947351455688476e-05,0.0,2.954966926574707,5
atlas,2.0,0.005,0.01,0.09804342240095136,0.0009695828533282351,0.09495613323524588,10.803827285766602,0.01015060264617198,-5.0024688243865965e-05,0.0,3.371477460861206,5
atlas_random,1.2,0.005,0.01,0.10584025681018824,0.005313066842047172,0.10275296764448283,11.590371894836426,0.01026147194206712,5.34951686859131e-07,0.0,2.466997575759888,5
atlas_random,1.6,0.005,0.02,0.10182082355022423,0.0024168990020409014,0.09873353438451882,11.188100242614746,0.0102016253396868,2.86102294921875e-07,0.0,3.201968955993652,5
atlas_random,2.0,0.005,0.01,0.09804340153932568,0.0009695844730032822,0.09495611237362021,10.803826141357423,0.01015060264617198,2.250075340270996e-07,0.0,2.4498547554016112,5
atlas_raw,1.2,0.005,0.01,0.10584025681018824,0.005313066842047167,0.10275296764448283,11.590371894836426,0.0102614717558026,-3.5464763641357423e-07,0.0,2.8154465675354006,5
atlas_raw,1.6,0.005,0.01,0.10182082504034036,0.002416900593452188,0.09873353587463493,11.188100433349609,0.0102016253396868,-5.811452865600586e-08,0.0,2.5936585903167724,5
atlas_raw,2.0,0.005,0.02,0.09804340451955793,0.0009695792155820236,0.09495611535385245,10.803825759887696,0.01015060245990748,-3.218650817871094e-07,0.0,2.882052946090698,5
fsam,1.6,0.003,0.02,1.2905530214309693,0.018089017394940815,1.2874657322652638,96.30083160400392,0.018720399215817397,2.169609069824219e-06,0.0,3.0439846515655518,5
fsam,2.0,0.003,0.05,0.37283424139022825,0.014709988042990509,0.3697469522245228,36.08006210327149,0.01284700445830814,3.2186508178710938e-06,0.0,2.908969211578369,5
muon_sam,1.2,0.005,0.05,0.09769114106893537,0.0005350506458279518,0.09460385190322992,10.756093597412109,0.010153886303305559,0.0031615331768989003,0.0,8.078424072265625,5
muon_sam,1.6,0.005,0.05,0.09332591742277142,0.00035362691270348994,0.09023862825706595,10.31660499572754,0.010085413046181161,0.0031342133879660996,0.0,7.21789402961731,5
muon_sam,2.0,0.005,0.05,0.089635694026947,0.00039280865367900857,0.08654840486124153,9.940741539001465,0.01003617327660318,0.00312200635671612,0.0,7.763482904434204,5
